stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type
201,,"McMillans Rd before Amy Johnson Ave",, -12.407256, 130.917492,,,0
202,,"McMillans Rd opp Kalymnos Drive",, -12.404127, 130.912142,,,0
203,,"McMillans Rd before Kemp St",, -12.400681, 130.906069,,,0
204,,"McMillans Rd after Lakes Cres",, -12.396877, 130.898953,,,0
205,,"Links Rd opp Northlakes Shops",, -12.396289, 130.896251,,,0
206,,"McMillans Rd after Carnoustie Cct",, -12.395519, 130.890919,,,0
207,,"McMillans Rd after Marrara Drive",, -12.395542, 130.882128,,,0
208,,"Rothdale Rd before Seabright Cres",, -12.394447, 130.878165,,,0
209,,"Rothdale Rd before Jingili Tce",, -12.389676, 130.877414,,,0
210,,"Rothdale Rd before Knowles St",, -12.386792, 130.876729,,,0
211,,"Rothdale Rd before Kilian Cres",, -12.384088, 130.876649,,,0
213,,"51 Dripstone Road",, -12.375565, 130.876148,,,0
214,,"82 Lakeside Drive",, -12.375664, 130.873623,,,0
215,,"50 Lakeside Drive",, -12.378175, 130.870531,,,0
216,,"14 Lakeside Drive",, -12.382298, 130.868806,,,0
217,,"Ryland Rd before Waters St",, -12.385440, 130.860789,,,0
218,,"85 Ryland Road",, -12.383189, 130.860061,,,0
220,,"129 Ryland Road",, -12.378892, 130.855193,,,0
221,,"Ryland Rd before Nightcliff Rd",, -12.379561, 130.851937,,,0
222,,"Aralia St at Shops",, -12.379139, 130.848993,,,0
223,,"38 Bougainvilia Street",, -12.381261, 130.847824,,,0
224,,"Bougainvilia St after Bauhinia St",, -12.383308, 130.848366,,,0
225,,"10 Bougainvilia Street",, -12.386447, 130.848365,,,0
226,,"Progress Dr before Phoenix St",, -12.387851, 130.849525,,,0
227,,"182 Dick Ward Drive",, -12.388872, 130.852342,,,0
228,,"Dick Ward Dve after Runge St",, -12.392644, 130.852341,,,0
229,,"132 Dick Ward Drive",, -12.395946, 130.852375,,,0
230,,"Dick Ward Dve after Tang St",, -12.399946, 130.852389,,,0
231,,"Dick Ward Drive opp Minmarama Park",, -12.412961, 130.850570,,,0
232,,"Dick Ward Dve after Allen St",, -12.424534, 130.836233,,,0
