shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
10012,-12.371833,130.875222,180015,8.220
10012,-12.371806,130.875119,180016,8.232
10012,-12.371741,130.874988,180017,8.248
10012,-12.371619,130.874763,180018,8.275
10012,-12.371605,130.874726,180019,8.280
10012,-12.371604,130.874724,180020,8.280
10012,-12.371604,130.874724,190001,8.280
10012,-12.371518,130.874536,190002,8.303
10012,-12.371449,130.874362,190003,8.323
10012,-12.371375,130.874146,190004,8.348
10012,-12.371310,130.873932,190005,8.372
10012,-12.371257,130.873738,190006,8.394
10012,-12.371214,130.873564,190007,8.414
10012,-12.371156,130.873311,190008,8.442
10012,-12.371151,130.873231,190009,8.450
10012,-12.371133,130.873143,190010,8.460
10012,-12.371118,130.873077,190011,8.468
10012,-12.371109,130.873023,190012,8.474
10012,-12.371104,130.872978,190013,8.479
10012,-12.371103,130.872930,190014,8.484
10012,-12.371102,130.872901,190015,8.487
10012,-12.371105,130.872878,190016,8.489
10012,-12.371117,130.872851,190017,8.493
10012,-12.371176,130.872805,190018,8.501
10012,-12.371210,130.872787,190019,8.505
10012,-12.371252,130.872770,190020,8.510
10012,-12.371279,130.872758,190021,8.513
10012,-12.371300,130.872748,190022,8.516
10012,-12.371316,130.872737,190023,8.518
10012,-12.371332,130.872716,190024,8.521
10012,-12.372477,130.872414,190025,8.652
10012,-12.372484,130.872412,190026,8.653
10012,-12.372484,130.872412,200001,8.653
10012,-12.372561,130.872393,200002,8.661
10012,-12.372638,130.872372,200003,8.670
10012,-12.372779,130.872329,200004,8.686
10012,-12.372811,130.872327,200005,8.690
10012,-12.372840,130.872325,200006,8.693
10012,-12.372932,130.872304,200007,8.704
10012,-12.372996,130.872289,200008,8.711
10012,-12.373016,130.872287,200009,8.713
10012,-12.373041,130.872288,200010,8.716
10012,-12.373072,130.872290,200011,8.719
10012,-12.373100,130.872294,200012,8.722
10012,-12.373129,130.872298,200013,8.726
10012,-12.373161,130.872304,200014,8.729
10012,-12.373225,130.872302,200015,8.736
10012,-12.373286,130.872340,200016,8.744
10012,-12.373349,130.872610,200017,8.774
10012,-12.373511,130.873227,200018,8.844
10012,-12.373543,130.873300,200019,8.853
10012,-12.373585,130.873376,200020,8.862
10012,-12.373631,130.873494,200021,8.876
10012,-12.373677,130.873601,200022,8.889
10012,-12.373723,130.873696,200023,8.900
10012,-12.373758,130.873763,200024,8.908
10012,-12.373774,130.873790,200025,8.912
10012,-12.373774,130.873790,210001,8.912
10012,-12.373783,130.873808,210002,8.914
10012,-12.373856,130.873921,210003,8.929
10012,-12.373978,130.874081,210004,8.951
10012,-12.374051,130.874182,210005,8.964
10012,-12.374066,130.874219,210006,8.969
10012,-12.374079,130.874249,210007,8.972
10012,-12.374107,130.874292,210008,8.978
10012,-12.374180,130.874364,210009,8.989
10012,-12.374218,130.874395,210010,8.994
10012,-12.374257,130.874427,210011,9.000
10012,-12.374290,130.874457,210012,9.005
10012,-12.374322,130.874497,210013,9.010
10012,-12.374351,130.874538,210014,9.016
10012,-12.374384,130.874598,210015,9.023
10012,-12.374395,130.874638,210016,9.028
10012,-12.374417,130.874674,210017,9.033
10012,-12.374449,130.874701,210018,9.037
10012,-12.374482,130.874745,210019,9.043
10012,-12.374526,130.874789,210020,9.050
10012,-12.374617,130.874883,210021,9.064
10012,-12.374922,130.875181,210022,9.111
10012,-12.374974,130.875205,210023,9.117
10012,-12.374994,130.875227,210024,9.121
10012,-12.375017,130.875259,210025,9.125
10012,-12.375037,130.875289,210026,9.129
10012,-12.375060,130.875326,210027,9.134
10012,-12.375109,130.875405,210028,9.144
10012,-12.375351,130.875885,210029,9.203
10012,-12.375351,130.875885,220001,9.203
10012,-12.375669,130.876519,220002,9.280
10012,-12.375945,130.877033,220003,9.344
10012,-12.376024,130.877195,220004,9.363
10012,-12.376175,130.877527,220005,9.403
10012,-12.376272,130.877769,220006,9.432
10012,-12.376365,130.878040,220007,9.463
10012,-12.376498,130.878491,220008,9.514
10012,-12.376495,130.878537,220009,9.519
10012,-12.376501,130.878599,220010,9.526
10012,-12.376547,130.878800,220011,9.548
10012,-12.376570,130.878892,220012,9.559
10012,-12.376628,130.879095,220013,9.582
10012,-12.376763,130.879639,220014,9.643
10012,-12.376793,130.879743,220015,9.654
10012,-12.376870,130.880060,220016,9.690
10012,-12.376925,130.880244,220017,9.711
10012,-12.376928,130.880251,220018,9.712
10012,-12.377059,130.880692,220019,9.762
10012,-12.377176,130.881072,220020,9.805
10012,-12.377329,130.881528,220021,9.857
10012,-12.377346,130.881583,220022,9.864
10012,-12.377376,130.881681,220023,9.875
10012,-12.377426,130.881842,220024,9.893
10012,-12.377470,130.881989,220025,9.910
10012,-12.377506,130.882127,220026,9.925
10012,-12.377450,130.882145,220027,9.932
10012,-12.376987,130.882285,220028,9.985
10012,-12.375964,130.882615,220029,10.104
10012,-12.375941,130.882621,220030,10.107
10012,-12.375842,130.882651,220031,10.118
10012,-12.375740,130.882688,220032,10.130
10012,-12.375723,130.882692,220033,10.132
10012,-12.375637,130.882720,220034,10.142
10012,-12.375612,130.882728,220035,10.145
10012,-12.375227,130.882848,220036,10.190
10012,-12.374631,130.883044,220037,10.259
10012,-12.374517,130.883080,220038,10.272
10012,-12.374435,130.883106,220039,10.281
10012,-12.374318,130.883144,220040,10.295
10012,-12.373765,130.883309,220041,10.359
10012,-12.373765,130.883309,230001,10.359
10012,-12.373480,130.883393,230002,10.392
10012,-12.373271,130.883461,230003,10.416
10012,-12.373080,130.883521,230004,10.438
10012,-12.372748,130.883635,230005,10.477
10012,-12.372711,130.883648,230006,10.481
10012,-12.372614,130.883681,230007,10.492
10012,-12.372594,130.883660,230008,10.496
10012,-12.372524,130.883598,230009,10.506
10012,-12.372441,130.883377,230010,10.532
10012,-12.372398,130.883336,230011,10.538
10012,-12.372388,130.883303,230012,10.542
10012,-12.372355,130.883197,230013,10.554
10012,-12.372310,130.883051,230014,10.571
10012,-12.372241,130.882832,230015,10.596
10012,-12.372167,130.882541,230016,10.628
10012,-12.372132,130.882411,230017,10.643
10012,-12.372053,130.882083,230018,10.680
10012,-12.372052,130.882080,230019,10.680
10012,-12.372052,130.882080,240001,10.680
10012,-12.372021,130.881917,240002,10.698
